"TCGA-W5-AA39-01" "TCGA-YR-A95A-01" "TCGA-ZH-A8Y5-01" "TCGA-W5-AA2X-01" "TCGA-W5-AA2H-01" "TCGA-ZH-A8Y4-01" "TCGA-W5-AA38-01" "TCGA-W5-AA2U-01" "TCGA-3X-AAVE-01" "TCGA-W5-AA2G-01" "TCGA-W5-AA2R-01" "TCGA-W5-AA31-01" "TCGA-W5-AA2Q-01" "TCGA-4G-AAZO-01" "TCGA-3X-AAVB-01" "TCGA-W5-AA2W-01" "TCGA-4G-AAZT-01" "TCGA-W5-AA34-01" "TCGA-W5-AA2T-01" "TCGA-W5-AA33-01" "TCGA-3X-AAVC-01" "TCGA-ZH-A8Y2-01" "TCGA-ZH-A8Y1-01" "TCGA-ZU-A8S4-01" "TCGA-ZD-A8I3-01" "TCGA-W5-AA36-01" "TCGA-3X-AAVA-01" "TCGA-ZH-A8Y8-01" "TCGA-WD-A7RX-01" "TCGA-W6-AA0S-01" "TCGA-W5-AA30-01" "TCGA-ZH-A8Y6-01" "TCGA-W5-AA2Z-01" "TCGA-W5-AA2O-01" "TCGA-W5-AA2I-01" "TCGA-3X-AAV9-01"
"AP003774.4" 2.17831003086304 3.13802696078273 2.75255279592858 2.17847465449226 3.79722770612007 2.97120209196474 2.16575690920396 4.33703571294249 3.67539894892262 3.2296768046736 3.32048684554707 2.67668011073523 3.26978906035584 3.35926570049256 2.91035635375878 2.19700996193131 3.18375374770005 2.38572369353947 3.72089853956332 3.0728370407374 2.72483404528519 3.53119354588279 2.86337389647615 2.90051149203308 3.32851985087342 2.85586576088982 2.86127790071765 3.02403893891765 3.35965294625651 2.75462261256716 3.5737843721256 3.4751408588333 2.64760021833413 3.71638019497442 3.45186296718068 3.4501727642158
"C9orf106" 4.07112439611701 2.72558049970975 3.7028347465258 2.68420589105923 2.75611910144351 2.3460573943178 2.66569510126305 3.94285497531029 2.40927432295013 2.48505672002831 3.83925926651409 2.67634483548991 3.72021025023991 4.39149979371814 2.33960493561398 4.76142675833542 3.17083814504889 2.03803228339262 3.27143473469959 3.62909308021096 2.29253489934484 2.50635542318484 2.9440852758294 2.49100506307499 3.48944724180908 2.60415819948711 2.62361381033301 3.6477716606756 2.29337673741539 2.52602432117426 3.1193274778984 3.46554369787978 3.8331753461538 3.37037432888151 3.2151476253066 3.0834758148771
"RP11-290F5.2" 3.62607907143457 3.17577654536823 2.87100516326225 2.6683740188984 2.90123786807707 2.6792724187944 2.33765715345549 2.73811975183595 2.4056635336664 1.92764487448697 2.47094106231847 2.34286592675193 2.93323112249564 2.5788152740633 2.57346272811985 2.98907206648647 2.76702537626762 3.0221765648879 3.01544494884682 2.87277995672121 2.59007459617775 2.5632134147326 2.62762096367762 2.93126652670916 1.76407185437382 1.82751595472111 2.41494788639227 2.74471437457247 2.45711795549828 2.08807518171969 3.03313715611428 2.54880454764705 2.27965162275816 1.89761164186981 1.80770374692846 2.23233281570041
"LINC01559" -2.07944154167984 -0.970181533131968 12.0923252196178 7.46551154889546 -2.07944154167984 0.584842010642688 14.674143690306 11.8981119736651 9.41094377332566 14.6346506786642 8.88299691909489 11.6446028417636 5.11652126650113 11.2147713206722 18.8667138390353 0.16145331148706 0.711358781488923 9.33934359258286 0.867760398088831 4.23911305142447 4.30080619617185 12.8659672637453 11.3888144816097 13.5282492379621 16.7097990920272 3.01678876171135 8.97793976105095 20.7871116580355 9.60026628153066 13.5652959154643 11.3039350738128 9.76966725417907 10.4083725306554 12.655501964432 9.36391782363568 7.56020512656926
"C10orf91" -1.38629436111989 5.11902638289903 5.34513108131765 1.52042365412825 3.05919422565713 0.685760964104745 3.96983932656691 4.08086331307924 1.55275937267602 3.48901613090555 0.60921842933018 3.71641933918716 5.19830928229755 -1.38629436111989 0.942281328069137 4.36277852311083 0.576279325073849 2.46791200486568 3.80177141307102 1.76599288684781 4.00979448885287 -1.38629436111989 3.83592058832549 1.39375340252525 4.51798711111874 -1.38629436111989 1.14949588150483 6.84747132831945 5.30738055982827 2.92805263120276 4.7816216115941 2.78514176280571 0.751369558974349 1.01879721831004 6.09484016489477 6.08616629343329
"FLJ40194" 3.08292937716637 2.85790483472357 2.45839053344863 3.17004064472074 3.83913397379615 2.48586367166474 2.99410705075047 3.02484791262004 2.94678789272274 2.91536904895847 2.61002198056589 3.28184936562846 3.14588884392837 3.4818134887781 2.79027893532682 2.87210630846991 2.70212212931385 2.49923967886577 3.2804509844752 2.84828431854199 3.25183966971411 3.06640370652731 3.01097394025072 2.79459984222323 2.64075856577106 3.12121817603333 2.21582233040985 2.61856202653565 2.5199514211569 2.82887906688606 2.91256977655348 3.07339026374755 2.18460422741161 2.76719973057995 2.00620836451764 3.00606310360742
"RP11-651P23.5" 2.29752995181309 2.82590898046065 2.49645154673834 2.60239210369292 2.17272034299894 2.77894576843403 2.72257273036313 1.15970278592678 2.16874982835995 1.09550419460579 2.11102882238641 1.87582192645642 2.30966331396543 2.91157979632233 1.7288142866444 2.60323329547169 4.21758982623575 3.01029811940482 2.84524295931637 1.4566228911321 2.24103906146445 1.91419942382545 2.72076575906293 1.71198191762413 2.46160207998416 2.88789453645133 2.71328152760564 1.73323918798567 2.48687403349615 1.42720325216894 1.47097172414618 1.36936612596563 2.22747861879092 1.77473549211405 2.98004392428724 1.46183546485412
"TTTY14" 4.31688393276575 4.49341302919271 2.1577513521023 4.82626975177028 0.382097600377089 3.92650715793555 1.27839307356898 1.61572709622307 3.71552330370259 1.90997470037891 2.4939916534878 4.3709202312092 4.32212151769679 2.11650883725126 0.915317813072582 2.20224685490123 4.22809430651774 0.915510899687644 2.19148282408534 2.74976246668818 1.6249461961032 1.56485645002372 1.92287393561699 2.78789767226896 1.73364474148128 1.47534234568235 1.64578903234277 2.8183163294699 1.22944052857811 1.2572128554374 4.23872870991633 1.83107895171802 0.870506080380067 3.59112168253221 4.38263235888036 2.11185957291155
"FAM87B" 0.929393031611046 0.65181446559675 1.46883529031531 1.72461296591111 2.19553351453284 1.27290643374465 0.571836768558441 1.67420051815808 1.91004219372311 2.10492829922047 1.11367297592334 2.75778578196049 2.07817674096431 1.47327444436921 2.68353145211128 1.52095344511775 -0.693147180559945 -0.693147180559945 1.72154287556076 1.46709333861098 2.37955112844843 -0.693147180559945 1.76518135692374 1.50587533043238 1.08752941498211 1.6542551424286 0.874405129823342 2.71071375460329 1.7667489022254 2.24463714728464 2.32469831483101 2.64106149330321 -0.693147180559945 0.817113915715677 1.61627607851407 0.62760435124431
"LINC01547" 6.97841454243082 8.02831705544771 7.55970253438513 5.2997581086237 8.41165753291742 6.55808023950697 9.0326882627176 6.36300792922302 8.17380826952391 8.4476554670575 8.17912763426523 6.22167766171504 7.69843628632398 5.34911111156436 7.66441556283467 8.75932371379665 8.41957954362822 5.77918938691792 8.02653458382662 8.61035687909084 9.01581906792498 5.04165065136404 7.64941510061206 6.83746510144453 7.96656961938007 8.051113663711 7.70162205434778 7.4403337175308 8.05753086752294 7.09163253980288 5.69398935032906 8.85348962334655 7.17643770871751 7.71507404437895 9.96262710345067 7.83432394430117
