"TCGA-KL-8343-01" "TCGA-KL-8335-01" "TCGA-KL-8344-01" "TCGA-KL-8328-01" "TCGA-KN-8426-01" "TCGA-KL-8337-01" "TCGA-KL-8329-01" "TCGA-KO-8415-01" "TCGA-KN-8424-01" "TCGA-KM-8476-01" "TCGA-KO-8406-01" "TCGA-KL-8330-01" "TCGA-KM-8443-01" "TCGA-KL-8338-01" "TCGA-KN-8431-01" "TCGA-KL-8346-01" "TCGA-KL-8336-01" "TCGA-KO-8414-01" "TCGA-KO-8405-01" "TCGA-KM-8442-01" "TCGA-KN-8432-01" "TCGA-KO-8404-01" "TCGA-KN-8425-01" "TCGA-KO-8413-01" "TCGA-KO-8407-01" "TCGA-KM-8439-01" "TCGA-KN-8434-01" "TCGA-KO-8416-01" "TCGA-KM-8438-01" "TCGA-KL-8339-01" "TCGA-KL-8331-01" "TCGA-KL-8324-01" "TCGA-KL-8345-01" "TCGA-KO-8410-01" "TCGA-KN-8429-01" "TCGA-KM-8441-01" "TCGA-KO-8403-01" "TCGA-KL-8334-01" "TCGA-KN-8418-01" "TCGA-KL-8341-01" "TCGA-KN-8427-01" "TCGA-KL-8326-01" "TCGA-KO-8409-01" "TCGA-KO-8408-01" "TCGA-KM-8639-01" "TCGA-KN-8436-01" "TCGA-KN-8419-01" "TCGA-KN-8428-01" "TCGA-KN-8422-01" "TCGA-KL-8325-01" "TCGA-KM-8477-01" "TCGA-KN-8435-01" "TCGA-KO-8417-01" "TCGA-KL-8327-01" "TCGA-KL-8333-01" "TCGA-KL-8342-01" "TCGA-KM-8440-01" "TCGA-KN-8421-01" "TCGA-KN-8430-01" "TCGA-KL-8323-01" "TCGA-KL-8332-01" "TCGA-KL-8340-01" "TCGA-KN-8437-01" "TCGA-KO-8411-01" "TCGA-KN-8423-01" "TCGA-KN-8433-01"
"RP11-244H3.1" 1.86353699934281 2.95309131893192 3.65215334673941 1.7971961993185 2.2276234442268 2.66618997222939 3.27255332875477 2.30322213817668 2.14378646011866 2.87983132267317 2.36102656081759 3.71659266252689 2.62865895615446 1.45580340743479 2.70440690005283 3.18572848994486 3.22936024648911 1.73416954652295 3.49418146107306 3.30605755330065 3.49453529951242 4.54667019013171 3.54844981820322 3.33527117912643 3.30238842458652 4.32324616506582 2.9801443075922 2.60509766376775 2.83998480196669 2.15555600373353 2.57133652351639 3.08206413515912 2.60008833927 2.6420052993307 2.66341574063713 3.54892665681036 3.12847366356036 2.73124960358538 2.66243546194033 1.6187477763078 4.41957009643761 2.9691873257707 3.72414634898494 2.35864065116982 3.0320268931423 3.11669976028334 2.116272227936 3.56533152976835 2.45052331388511 1.32409162025503 2.87038194983935 3.05364576717714 2.92013889649094 3.51266672970336 3.04386424660496 3.03860097654541 2.80223933641182 4.61169246438617 3.38254019993119 2.39060719083385 2.76297475030513 3.13540450122796 3.65474615408628 2.81612308013425 -0.693147180559945 3.91810924633707
"AC012074.2" 2.43005745499212 2.78854112735869 2.35800476304393 2.36104803334453 2.707483953343 1.42849719648861 2.54272581081708 2.29248258057506 2.35735897024575 2.7732016705251 2.50105580524782 2.7120323928523 2.2861995647882 2.52335404343273 2.36927051411307 3.49098426845493 2.27650255874006 2.51865222543492 2.5626650433024 2.88784684374476 3.30415654441078 3.60619247883352 2.50575016879964 2.47628585244082 2.55820519385777 3.18427051260478 2.24266172922292 1.9244748045215 1.13649682796983 2.26307719850823 2.61790093090466 2.9095144980689 1.54236684696372 2.83057404800052 2.38352995223201 2.31922142286435 2.26857533405126 2.18563799210154 1.76259291120824 2.1913864471347 2.5397980101029 2.76977801209462 2.44924202855133 3.24860080271577 3.25562871489632 2.70466579148261 1.8086851394281 3.1049431774091 -0.693147180559945 2.5649025624562 0.996510806965315 0.244594325599373 2.40319234869935 3.16228356060117 2.28629382805726 2.40016885498734 2.51828515900941 3.38800677288667 2.53384924626357 2.03767166906564 3.37182490855339 2.90503886909018 2.20756362606201 1.65112021726992 2.51414762795883 2.65237074265993
"LINC00471" 3.02662467947905 3.46280709371575 2.7872046361219 2.6360526210494 3.37499476968767 3.17261771039989 2.5220454323311 2.26769956082134 2.54801424507791 2.75836502525953 2.89734506203235 3.24820903490724 2.68766994190875 2.48278815125906 2.54183221253054 2.69992637214456 2.82406975331926 2.83133628422981 2.42530486235215 2.10016200827169 2.73595420849347 4.44019971154742 2.36976512326518 2.96083315345769 2.72118447169524 3.89591546129475 2.17705910962222 2.92828697771628 2.38056342331127 3.63003081156521 3.0885595355046 2.37682915008661 3.09179353131679 2.54825891276575 3.17304913449582 4.06956035871449 3.13997084742986 3.3145272352653 3.34280528159944 4.02030956737904 3.27706099430562 2.92872785867419 2.50626805843502 2.67052541725481 3.3220009496472 3.05483400650715 2.5275948021052 3.10674172282362 2.18250787773455 2.69368398751763 3.34545168647289 4.05837279121735 2.37352297933505 2.36443317892103 2.92497164569617 2.55943163668289 3.5849544119266 3.49756625545491 2.92255422973226 3.18673969281769 2.23228562114597 3.0099448416735 3.62146439056632 3.13032314112522 2.55012269846666 3.58935074612833
"LINC00670" 4.36881102733244 4.16190919492959 4.5521441821558 3.94707799649389 4.19127128906997 4.3109263006317 4.31948854656886 3.84744361338176 4.25230653226421 4.12623147337071 4.51794054615769 4.40023137245602 4.41552125771754 4.36653494620816 4.58660159296491 4.82709640276935 4.88119858385635 4.33984595105791 4.36689441114203 4.80785952281068 4.65654152942014 5.05747232573294 4.2501652859849 4.43750748521406 4.55597840329938 4.32247686416281 4.32649771652817 4.40764571181712 3.94230867265004 4.56026429956326 4.77269520756206 4.20598385967371 4.24654511749435 4.45028793465132 5.00473893124606 4.22291427825007 4.40485876004245 4.58976646251016 4.27369599531936 4.63488234789761 3.41832443968734 4.07446738820073 4.27754756848958 4.50414825081574 4.4200249823365 4.07935306070501 4.48016191968882 4.66098430882496 5.05344791979137 5.19008434949691 4.16000879204671 4.06628835119132 4.06729878259616 4.69608816621084 4.3543137229227 4.45170253163513 4.82953101412919 4.16135485897373 4.78576295778013 4.92407765549552 5.13492554156394 5.40958259617443 4.16356019763578 4.36203823498552 4.36174826644789 3.65724274815865
"EIF3J-AS1" 20.5876731163351 17.5068716383849 21.4482588130025 16.2839325721955 16.478138341324 17.34540796176 18.943687600349 14.9059737831399 19.6858067392117 15.6388445094324 19.8461190585423 19.1442317981431 17.9302096779372 8.37909802746077 16.7889156838103 16.5351611224947 17.5267210282096 13.6886069805752 15.2352595080128 18.6675531842272 20.0770351651997 9.43449577416057 18.0860597894517 16.3195453418496 17.1115996451805 19.6415297617989 16.9456200300168 14.7594916263734 17.8241398784616 19.8376681497564 18.2812269493861 14.5787918027045 18.801287449098 16.4378243758184 19.2994201505044 16.9419356447099 18.4342487696879 19.4367243605948 18.9460024916893 18.2319673411088 14.8872888224122 15.3619107831099 10.1353625485369 10.7187141838964 18.5844094444855 20.9832207629666 18.6490511322562 18.8872828632841 15.7398369227234 19.5491987494625 18.002664684255 19.1459706571744 20.4630401186468 13.3246389398017 19.574499957005 17.1186907362573 19.0401534122158 17.5055042685114 17.975037935543 16.6264676719682 13.6847802305281 19.5854865008703 19.981201974902 18.3778856786639 16.5431502153185 16.6133360208371
"LINC00324" 4.14993339014091 4.01872534502681 5.47570833710593 4.12907977129707 3.43424929623765 4.19716405926055 4.36036760106871 3.89002753097961 4.30356389174756 4.41034849261591 3.57195481100741 3.84195131303113 4.01208312155521 3.98202003092366 4.28068848224503 4.44242128980069 4.16314854686282 4.10418571001434 4.66286395616696 4.35491964709006 4.0257543143158 5.0663412587573 3.8546213454901 4.56167172868423 4.86397344782708 5.90564587146829 4.33617672934213 4.72111079981392 4.38083487371177 4.44842078271654 4.1278852617485 4.4558295456752 3.79639388783852 3.95328823638778 3.77888438819388 4.35624593740805 4.26671896607069 4.37094937358898 4.0731001307618 4.00853708470123 4.49190681693298 3.96412623146723 4.36554504052844 4.20311266099016 4.51336458823101 4.09037556092945 3.6640166314575 4.62861922661183 4.1525530458321 4.83390878000175 5.25850471261226 4.20961879903117 4.16948038158036 4.10732439183863 4.71239305047002 4.43116391033108 3.86754152305323 3.81853995288114 5.03155093179448 3.9859249394711 5.72771897661193 4.04077673770573 5.01041721458049 4.05764559019311 4.53406860156592 4.1286550534275
"AP003774.4" 2.64078384749167 2.17912524555329 2.19445594235674 2.45161337357872 2.37748374130436 1.79579213144639 2.70073675095527 3.02954638333716 2.83220703313456 2.34678900618939 2.16679123285549 1.51323710759753 1.9950147675587 1.93009595318513 2.43061091427955 1.52418077397105 1.22423615501143 2.79975681753243 2.80373863609796 1.90601379928718 3.15249204614744 3.52039952955854 3.27177109370279 2.8010385147948 3.0979038273881 2.96915158342914 3.79520800499005 2.39458068061154 2.032898669416 1.8016789166584 2.17478541202271 3.11507351224005 1.42874224586405 2.2819977766602 2.36885698876743 2.27593231125085 3.40620133059973 2.79319252025838 2.26804578068124 2.04167407048414 2.46355845818292 2.30427375334323 2.27245046724703 2.69561953542582 3.24482807446968 2.51141989598732 2.23813188539692 4.05729831709425 2.67139710370379 2.61231735903946 1.70636787941025 3.55192718534112 1.98998497206405 2.05469672165354 1.97511485201613 2.44596918611817 1.69319628319055 2.37678313377952 2.84138936509935 3.05616563674229 2.89453066790888 2.85200532934869 3.34906958682979 2.15324648359697 2.61366207113412 3.04535418044073
"C9orf106" 3.2296872871206 3.98492417133696 3.17474668778182 4.13838239115429 3.98708437116372 5.20316917991923 3.80880968584657 4.19796269563261 3.76947530950811 5.41134934528889 4.18458625589363 4.25654738839997 4.96984953625576 3.32543655935664 4.90583361438215 3.51513850672695 3.58659627274252 4.86183817539102 3.89974935106087 4.20999126514028 4.33451927210468 3.90259433713866 4.28172593310337 4.08314299074828 4.60538646548198 4.49102862473627 4.03744730105748 3.67862081957201 4.27768151260055 3.05095373807775 4.15162146709577 3.58780683343251 3.82019334391003 3.27424273481284 4.07342193695152 4.42216544380098 3.79554210473922 4.22502349432125 4.66527809878559 3.87798237117661 2.06217166282092 3.24498562820744 4.55489473563185 3.91801075920939 4.26056837278256 3.65628411240943 3.91655403595432 3.26635563992667 3.99405169522904 1.24435853936583 3.11312560004012 4.77283406389263 4.14055087842588 5.031737733426 3.63115489342336 4.09362265594146 4.34439283550098 4.18802346155735 3.90982010876447 3.97799876135881 2.00472578621117 4.2143427473575 3.97625310737403 4.40818041292884 3.15492036371658 4.54882116111284
"RP11-290F5.2" 0.80410758152111 2.14415846015112 1.13106468256776 0.57751272170496 0.49340375325618 2.28384550618751 2.35812020245185 -0.693147180559945 1.43240897343597 2.20125005678357 2.36242115013247 2.55604429842777 2.19275605663155 2.39366864303418 1.15484431585113 2.22411313299613 1.64616406369911 1.32190584254223 1.7533401459448 2.03646675893228 2.33098698621929 3.31847339846781 1.95813067207054 2.30768854012758 2.11082468410591 1.86299207623527 1.80852863842987 1.61593990719399 2.32459500927642 1.17742973049564 2.48092652337432 2.08092555381608 1.83006376983378 0.940673560842033 2.29086357448282 1.17390189945693 2.22036235627518 2.36155608038325 2.14137295062911 1.4179977877008 1.88338891857888 1.19702691596145 1.99752148298449 2.03520175746823 2.55294679636159 1.6587522281499 1.96913960166669 2.36115769046872 0.992558023914198 1.23685177457999 1.9023660885157 1.49834279826774 2.00647779324166 2.11201191011029 0.816994482179207 1.24458269630901 2.18091344660345 2.11810323923675 2.61701072974712 2.49199627296954 2.1778909319653 2.33124846429492 1.77139394974554 2.15448029378446 -0.693147180559945 2.44481310228407
"FLJ40194" 2.69240975817867 2.27328588142804 2.22274960622954 2.46971168183341 2.6042164531711 2.17224742394552 2.88086769935816 2.86995674739282 2.73827646685979 1.83906980032329 3.00551685034362 2.30113965797744 2.91642546640824 2.75839323468244 2.15510081507073 2.46529631325031 2.40510715662188 2.89542868087446 2.77006138732277 2.291253235532 2.64585356691403 3.48788002219709 2.89710863585606 2.50486333894898 2.78276187807502 2.02359543099637 3.11026864206797 2.16725772950529 2.36594870250066 2.17108034534171 2.19575176479453 2.61832695904454 2.11073138902704 2.18068323217129 3.08687450618703 2.63897220982779 2.90226479761715 2.90260863636004 2.49622045122949 2.23642492707931 2.07960447117073 2.86092055417947 2.302478147215 2.53671021985217 3.01757950015213 2.78643978707213 2.15217095748377 2.45691617084503 2.0109888013916 2.24686696802966 2.22044988847734 2.92108162504467 2.47781907863966 3.28964623328523 2.6253065876656 2.73601398888413 2.29551941629534 3.19848107258067 2.76656508744797 2.50958419499088 1.44611309609151 2.40961754622767 2.51478354950293 1.78245092903079 2.36710935751303 3.11504961783511
"RP11-651P23.5" 0.426336221575496 2.39468624174859 1.78861247996058 2.68164809694585 1.47062442270009 2.27164709773157 2.20713225834734 2.26005977789009 1.92399359077231 3.18720248357877 2.11938050344691 1.85957023617111 2.11114271980067 2.10311310105384 0.984194838003405 2.83928157552486 -0.693147180559945 2.42923486355582 2.19483555106228 1.30263520343024 2.08068409343506 2.16027216470252 2.05342313338502 2.42542502835567 1.32336174397827 1.67464211312807 1.94945848241469 1.94480744861986 1.15731034724192 2.08391053562462 1.53071684296567 1.4700634534451 -0.621835205418635 1.89051764180655 2.1721799450316 1.40207027932985 1.56206685696313 2.17043925402832 2.62815398541439 1.35843836091137 1.80768728443971 0.590203522455445 2.32961982332512 1.98170351963314 2.06828475268679 1.70528527729942 -0.693147180559945 1.77372562831043 1.77522432551676 1.64345932199695 1.5803549422561 1.09974641069549 2.50519923511863 3.47862090472236 0.611807868070049 1.4221398496751 1.83950671131254 2.04492209285135 1.82812998234346 1.15285315023553 1.78400379412013 2.34222251401051 1.20806912561863 -0.693147180559945 -0.693147180559945 1.78115099726568
"TTTY14" 2.44542588171397 1.49584823092739 2.0272801820735 1.89722094719412 -0.693147180559945 3.50952768650968 1.72081899464622 1.13301234215694 2.02481306006837 2.02420890048763 1.73236467108216 1.49075070435458 2.3066669608259 4.14539135888853 0.966146489037739 4.52344959372132 1.4628558885532 1.37258094459522 3.1126766305353 3.1969743499653 2.27854547759131 3.2537111362458 2.50419093935201 1.3872498418675 2.40707980452832 2.9067781646918 1.1771717129822 1.36956533216836 2.38537113737887 0.823752661927706 1.78630549962233 1.27344172347832 1.04205361315098 1.40591732961439 1.79600750651048 1.00161649641657 1.48287730024861 1.72474860585726 0.77585173241213 2.65593923589243 1.76283270487628 3.18029783587018 2.0660748776783 3.68556874064223 2.56861784366433 3.20058325932605 1.75411444864512 1.67396362904311 1.13265328543679 1.23995116485363 3.4018145263577 3.44481521978324 -0.693147180559945 1.77038526442711 2.92333742657125 1.79012852021443 1.868721153094 2.2822079788299 1.65441781272621 1.22526753785518 4.52854096647546 3.80011431174795 2.23904776675542 2.0827614287309 1.61239677974181 1.82020953275913
