"TCGA-N5-A4R8-01" "TCGA-N5-A4RA-01" "TCGA-N5-A4RD-01" "TCGA-N5-A4RF-01" "TCGA-N5-A4RJ-01" "TCGA-N5-A4RM-01" "TCGA-N5-A4RN-01" "TCGA-N5-A4RO-01" "TCGA-N5-A4RS-01" "TCGA-N5-A4RT-01" "TCGA-N5-A4RU-01" "TCGA-N5-A4RV-01" "TCGA-N5-A59E-01" "TCGA-N5-A59F-01" "TCGA-N6-A4V9-01" "TCGA-N6-A4VC-01" "TCGA-N6-A4VD-01" "TCGA-N6-A4VE-01" "TCGA-N6-A4VF-01" "TCGA-N6-A4VG-01" "TCGA-N7-A4Y0-01" "TCGA-N7-A4Y5-01" "TCGA-N7-A4Y8-01" "TCGA-N7-A59B-01" "TCGA-N8-A4PI-01" "TCGA-N8-A4PL-01" "TCGA-N8-A4PM-01" "TCGA-N8-A4PN-01" "TCGA-N8-A4PO-01" "TCGA-N8-A4PP-01" "TCGA-N8-A4PQ-01" "TCGA-N8-A56S-01" "TCGA-N9-A4PZ-01" "TCGA-N9-A4Q1-01" "TCGA-N9-A4Q3-01" "TCGA-N9-A4Q4-01" "TCGA-N9-A4Q7-01" "TCGA-N9-A4Q8-01" "TCGA-NA-A4QV-01" "TCGA-NA-A4QW-01" "TCGA-NA-A4QX-01" "TCGA-NA-A4QY-01" "TCGA-NA-A4R0-01" "TCGA-NA-A4R1-01" "TCGA-NA-A5I1-01" "TCGA-ND-A4W6-01" "TCGA-ND-A4WA-01" "TCGA-ND-A4WC-01" "TCGA-ND-A4WF-01" "TCGA-NF-A4WU-01" "TCGA-NF-A4WX-01" "TCGA-NF-A4X2-01" "TCGA-NF-A5CP-01" "TCGA-NG-A4VU-01" "TCGA-NG-A4VW-01" "TCGA-QM-A5NM-01" "TCGA-QN-A5NN-01"
"C2orf27A" 3.48852786256271 5.58091427460604 4.83292038637221 3.79131398910677 4.5281712093096 3.84025172380484 4.2023236808107 4.11278352311619 7.27401373499347 4.1354281576016 3.71985150443863 4.39728957770161 4.73661028676337 5.09750124202569 5.13259740545164 5.42412596839326 6.10780292886071 4.79698184019708 5.77279621673012 3.75098159965399 4.18968225865284 2.37856711045748 5.34581504253673 4.84796184062433 5.78008958294922 5.22861477518641 6.18607659275926 5.19530428532093 3.01515855046746 4.98145540091687 4.16305587287157 5.19388210928751 5.47136957450602 3.66065485203523 4.04769542249255 5.34835991022186 7.27645758281498 3.33890927280892 4.92401434782591 6.30092174625066 2.01539051939286 4.89007697294606 5.33135410078729 2.84394365699723 5.4671033722158 5.09751388336575 5.76173471562934 4.37625564931336 4.69691746558603 5.29317917168853 5.36092256313203 2.14038603228306 4.44921138782975 1.04243422088883 4.93325383453285 4.14645972174097 4.13152363640641
"C3orf35" 2.57598994772182 2.77355332441521 2.42484148847096 2.13924026971887 3.75444928378859 2.38081255066312 4.2023236808107 2.79085542822883 2.75493024804993 0.0765590951316044 3.93557289592039 2.81233392330441 6.22735601830865 3.53115685050742 2.04512839539759 2.69231559916945 3.16669937923063 3.06763871687536 2.64625483919945 3.16602445672376 4.0376809220863 4.30456944933373 3.59092532317662 1.14750208442593 3.46850512003448 3.35414180953455 3.83355805507036 3.3313612672683 2.19203631255154 2.54848594676032 2.09892480334029 1.55826763405574 4.47136957450602 2.36518859760777 5.08722520131978 2.19635524288275 2.56596267728106 4.7081486017418 3.86511709458666 2.97900097062006 2.6934535033134 2.20201016731643 2.99255092265872 1.92641698037124 4.20082603945273 3.53951866434271 3.4295356262782 1.85267806267286 2.94202648692415 4.1988555679076 3.77595655184949 2.38139413178685 2.69432306012539 1.04243422088883 1.84879818124419 2.04691008286352 0.922045577031944
"C3orf36" -0.0355869008143771 0.34319944903404 0.309409049240119 0.916858764699754 2.25969431007582 1.20844550670377 1.72425735120072 0.932863842051521 4.33989987296236 1.29895151646805 2.08756467495326 3.01877658517918 -1.12123542873265 1.83070153315044 3.47809168673837 2.34440244146226 1.84478735007906 1.98961134906793 3.06129233847829 2.65145358008402 -1.13226164823731 3.86399790091776 -0.993953369881585 2.41055819814258 -1.33898013972984 0.354113592492377 1.02623349115976 -1.31258092262811 3.7010499600394 0.22650852980868 0.961401073164279 2.21035769092276 0.412510571249805 1.22767947354014 3.46273292177139 1.34834574511348 0.6915341649192 2.07587486697513 3.21876567151351 -1.19099722506091 -0.306501891277755 2.35402893805439 3.54894209593639 -1.24365984774815 2.69180213291815 4.49887632535432 1.20714320494175 3.10062449732751 1.26393580857533 2.31132872599558 1.02105325205408 0.996222847484929 2.39476106368003 1.29980912211166 2.01870538141632 0.239520246898117 3.38150488256731
"C6orf223" 0.0735460609151547 3.88029370151051 5.29425313644451 7.85544285410871 4.04817514189716 4.43747462452834 5.32189563388375 -1.209227962138 5.09733268023964 4.27293392014923 5.95547555318157 4.1562833453803 3.63351258489615 3.68869511524466 4.81066931056428 4.34439533947057 5.4535768397755 6.69824487552315 2.19880843205028 2.42905350476663 4.39131405739718 1.05665288703761 0.590913350255908 5.89168164791742 8.521598476872 4.16150076255313 6.08538641276933 4.99129054282862 2.66152159585276 6.94730029418444 3.44685171502118 5.10849100259224 3.28694027342252 3.42932136994144 3.68512160440816 3.19635524288275 6.42846067626003 4.68468971939742 3.60208862905744 5.39403046445992 3.39388292770275 3.67595138913593 4.1261882105221 2.93917014787465 3.63522039083811 3.07002860903944 4.14574266027761 7.43012215758062 2.52699524533641 4.7442849036382 5.04344075133581 7.32874223656838 3.60120919780491 5.23228084823882 4.30822251757023 1.23958134568228 7.07689147012819
"C8orf31" 5.58656360455771 5.30605439616483 6.79585913895026 5.23877157671972 6.36249092936062 5.57064507799186 4.61736313933466 1.79085542822883 6.51743948334858 2.1920047399325 0.350610395199237 4.571318821878 3.63351258489615 5.7133603932418 1.53057020390253 4.76761242771675 5.88039166742512 5.46356033802505 4.43980927974703 4.77482394996161 5.5259623588874 4.0108335360805 7.37665069949621 4.25185540380782 6.53151246687442 4.44160963020564 5.45247024108242 5.80645037790861 3.7010499600394 2.54848594676032 6.49124382979153 6.39479364047402 0.412510571249805 4.52047253767316 4.27008784382899 7.09789517839538 0.6915341649192 5.70814584211086 4.0171290984794 5.11285023193934 3.50080205305716 6.98046064868683 5.01361411445024 -1.24365984774815 2.69180213291815 3.27648177706982 7.35689208463667 3.66005010393212 6.64246909323374 6.75758335588414 6.35198867519723 2.26591691436692 7.73049459231372 2.04246924243396 5.549231737432 0.239520246898117 4.89935450584039
"C8orf44" 6.94007276077361 5.66553205352266 6.49443321193769 4.10640695083398 5.18774795576891 4.18353415357512 5.50997764026311 4.76309282901651 6.29312214093393 4.98422475722408 5.44132743592006 4.71744612177168 5.53096964878385 4.86744184461816 4.74557080250765 6.64811306717722 5.89108618140074 4.87433467870541 4.80502927906891 5.83640388251507 6.02509968685491 5.94575048622051 7.27546433766404 4.91305694251503 6.97080649915604 5.87079129965984 5.3837561248977 5.73605009408375 6.58641198140567 5.97081685042612 6.68651033187348 5.83159353730734 5.34652082473673 5.14168210188161 5.16187962260555 5.78118657973152 5.34091827027212 5.66300297788186 4.91688264385596 5.52413891868853 4.99905292058498 5.4438585707092 5.26545189903932 3.98299357469431 6.63038508441708 6.03734488014391 5.06030683786377 4.67338116433949 5.64357916573171 6.66895020536876 6.50408166449725 4.72579022692932 5.5573917086489 6.11659764530336 6.00046654623208 5.36884865175846 5.34833866250714
"C9orf139" 0.909118597927922 0.966208951574222 1.33319471633589 -0.35825157405576 0.800247628453575 1.43277894898945 -1.08314123530025 2.57221059331231 0.947553953207411 0.180225388921526 0.0383628376769309 0.789937868980195 0.596744360181071 1.63807383718072 -1.27683465654241 0.938097561074093 2.1173958352539 -1.18016834757346 2.65871419580331 2.46936505370484 0.934723636347829 -0.943416471633633 -0.993953369881585 1.63296612490967 1.57569957939219 0.127203320964937 0.0261626544896757 3.91363623141197 1.69790723154679 1.96354810643899 1.22447252389635 2.14463377288515 2.91496627916529 -1.09418701904823 0.462785262549631 -0.973695675648091 2.60095953179393 0.932526576923159 1.97467614420157 0.809085118196487 1.42680147161338 -0.968040258602455 3.84478735007906 2.75648960675997 2.76746412109441 1.70588945789627 1.02268739007029 1.43765387834619 1.80793188468912 3.93190993752171 0.0210532520540752 2.38139413178685 2.79108472688701 -0.421399363847257 0.553655402332891 2.04161827339456 1.24397367191931
"C9orf163" 3.24342536189527 1.28812227753672 3.18383583144968 2.79131398910677 3.50068734659467 2.55075294086895 3.00439352315262 3.74505442854729 5.7289435885423 2.57903529195544 3.85311739122355 1.91926379780574 2.78550870356043 5.07864398900422 1.89312918601721 3.69232675944996 3.94910532878874 3.06763871687536 2.32432098310705 5.57201044770249 2.8677581167391 0.641638506574872 4.17589181484927 1.82558213003292 5.56803818694666 4.05458803922239 5.50193906542365 3.81679423710821 3.7010499600394 2.44895379614947 1.22447252389635 4.7733053956161 3.91497584341304 2.36518859760777 3.40133010137816 3.27436603851772 5.19399640791733 1.56130169414537 3.15463181219091 1.39402017168738 2.86336363597962 1.61706334388818 3.36451640421605 3.34144499095086 4.45080215287982 1.6915341649192 4.14574266027761 3.80689112410865 2.94202648692415 5.60410988202598 4.97526790806185 1.48830933570336 2.60122108558495 1.36440434152833 3.0187231826865 2.04691008286352 3.00954424828454
"CASC2" 4.13238765132629 4.4580538429643 4.91422007242074 3.13924026971887 5.04817514189716 5.98073367424648 4.0868516880385 4.54574601883184 6.29631239638364 5.1354281576016 4.74293320576214 5.75574484941813 5.00791308164326 5.51721584217385 4.78929627358159 6.77371023605273 7.29102515594463 5.43441472633077 5.52073024204031 6.23640651332265 5.45271402916487 4.75708193483093 4.43223119685822 4.89168164791742 4.889965065401 5.82446492665313 4.51805667909742 5.027357557672 5.01515855046746 4.54849211189979 4.99704847489206 6.23475229885024 4.97726160344657 5.28080416975779 5.00705642894797 4.31183730304816 3.75039212114534 6.20516179471729 6.33182163906789 4.66705191654601 4.5760867241794 4.03209202471073 5.22701708264757 3.34144499095086 5.43431463671615 5.0420182750373 5.74112447421315 5.32842720227767 5.54194223216723 5.64761096270435 5.49680425565643 3.63515072403263 4.88414364961725 4.29038753976388 7.21511262769003 5.73141950699255 2.62250872258291
"CCDC39" 4.63135460724452 2.55117145229538 6.09943618427504 -0.668180151977398 1.97019104018947 2.55075294086895 0.501923147066438 4.72159686683294 1.75493024804993 6.69124381007553 2.85311739122355 0.696884090855455 4.6065488272751 2.73760024037227 4.27779138346034 5.09442188510909 7.92585288739997 5.00953081213797 7.86607650793779 4.42905350476663 2.5000116679272 2.37856711045748 -0.993953369881585 -0.174458572898173 3.41602901132623 4.83527228957807 4.02620692781606 4.64170786080044 3.13545278418517 3.1010280907255 4.90627972539789 3.83839716541618 5.4274251541485 2.36518859760777 3.40133010137816 1.8337806666484 0.6915341649192 4.5868427896649 4.62735002489398 2.71595924552951 2.39388292770275 3.55565666465145 5.01361411445024 2.66336739258873 5.53052962909449 3.1769450400437 4.90758292308284 4.5531331442094 3.11194940246339 3.7967534769737 5.46401472450489 2.00288250853312 2.01624669708376 4.36402606568017 8.03366581641297 -0.760479753101883 1.24397367191931
